"Gender","Race","Suicide_Rate","Overdose_Rate"
"Female","American Indian or Alaska Native",4.6,NA
"Female","American Indian or Alaska Native",4.6,NA
"Female","American Indian or Alaska Native",4.6,NA
"Female","American Indian or Alaska Native",4.6,NA
"Female","American Indian or Alaska Native",4.6,2.2
"Female","American Indian or Alaska Native",4.6,NA
"Female","American Indian or Alaska Native",4.6,1.9
"Female","American Indian or Alaska Native",4.6,NA
"Female","American Indian or Alaska Native",4.6,NA
"Female","American Indian or Alaska Native",4.6,5.2
"Female","American Indian or Alaska Native",4.6,4.6
"Female","American Indian or Alaska Native",4.6,NA
"Female","American Indian or Alaska Native",4.7,NA
"Female","American Indian or Alaska Native",4.7,NA
"Female","American Indian or Alaska Native",4.7,NA
"Female","American Indian or Alaska Native",4.7,NA
"Female","American Indian or Alaska Native",4.7,2.2
"Female","American Indian or Alaska Native",4.7,NA
"Female","American Indian or Alaska Native",4.7,1.9
"Female","American Indian or Alaska Native",4.7,NA
"Female","American Indian or Alaska Native",4.7,NA
"Female","American Indian or Alaska Native",4.7,5.2
"Female","American Indian or Alaska Native",4.7,4.6
"Female","American Indian or Alaska Native",4.7,NA
"Female","American Indian or Alaska Native",4.1,NA
"Female","American Indian or Alaska Native",4.1,NA
"Female","American Indian or Alaska Native",4.1,NA
"Female","American Indian or Alaska Native",4.1,NA
"Female","American Indian or Alaska Native",4.1,2.2
"Female","American Indian or Alaska Native",4.1,NA
"Female","American Indian or Alaska Native",4.1,1.9
"Female","American Indian or Alaska Native",4.1,NA
"Female","American Indian or Alaska Native",4.1,NA
"Female","American Indian or Alaska Native",4.1,5.2
"Female","American Indian or Alaska Native",4.1,4.6
"Female","American Indian or Alaska Native",4.1,NA
"Female","American Indian or Alaska Native",4,NA
"Female","American Indian or Alaska Native",4,NA
"Female","American Indian or Alaska Native",4,NA
"Female","American Indian or Alaska Native",4,NA
"Female","American Indian or Alaska Native",4,2.2
"Female","American Indian or Alaska Native",4,NA
"Female","American Indian or Alaska Native",4,1.9
"Female","American Indian or Alaska Native",4,NA
"Female","American Indian or Alaska Native",4,NA
"Female","American Indian or Alaska Native",4,5.2
"Female","American Indian or Alaska Native",4,4.6
"Female","American Indian or Alaska Native",4,NA
